,0
김씨,210271
받다,129224
여성,120450
경찰,107920
사건,104068
혐의,100704
성폭행,98358
늘다,94974
밝히다,80126
성추행,71940
피해자,71614
성폭력,70363
보다,68002
조사,67573
지나다,67011
대하다,66151
범죄,54856
피해,51441
사실,51158
수사,50263
문제,49527
사람,47581
따르다,46357
자신,46153
의원,44114
김양,40338
관련,39723
가해자,38710
서울,38402
검찰,37964
경우,37146
사회,36758
지난해,36333
성희롱,35805
학생,35729
선고,35579
나오다,35244
학교,35021
처벌,34934
성범죄,34777
미국,34604
주장,34207
통하다,32454
시간,32086
기소,31751
아동,31459
교수,31361
당하다,31239
알리다,30169
범행,29348
다른,28935
남성,28657
당시,28610
크다,28589
결과,28187
오다,28059
법,27977
정부,27876
대상,27866
대통령,27793
내용,27704
생각,27594
최근,27463
하다,27408
집,27361
공개,27305
발생,27060
들다,27000
신고,26965
이번,26378
있다,26183
알다,25606
교사,24210
교육,23646
이상,23434
대표,23418
사진,23181
확인,23137
이유,23003
한국,22854
보호,22269
구속,22118
검사,22033
의혹,21863
말,21810
징역,21688
저지르다,21684
지역,21559
김,21258
청소년,21213
관계자,21067
과정,21048
인권,21015
보이다,20976
살다,20734
상황,20729
후보,20444
만들다,20442
보도,20208
요구,20131
